,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
350,Villarrica,PY,-25.75,-56.4333,60.4,98,100,3.87,overcast clouds
351,Sucua,EC,-2.4667,-78.1667,65.86,98,99,1.59,light rain
352,Khorramshahr,IR,30.4397,48.1664,108.55,8,3,9.55,clear sky
353,Vostok,RU,46.4856,135.8833,56.64,98,100,3.71,light rain
354,Dyersburg,US,36.0345,-89.3856,75.34,88,0,5.75,clear sky
355,Lasa,IT,46.6166,10.7002,77.36,56,43,4.29,scattered clouds
356,Morant Bay,JM,17.8815,-76.4093,75.7,85,78,6.15,broken clouds
357,Bandarbeyla,SO,9.4942,50.8122,87.67,53,87,28.83,overcast clouds
358,Barstow,US,34.8986,-117.0228,68.99,56,20,2.84,few clouds
359,Ushtobe,KZ,45.2514,77.9838,100.94,15,55,15.1,broken clouds
360,Gold Coast,AU,-28.0,153.4333,59.0,94,1,4.61,clear sky
361,Lingao,CN,19.9103,109.6859,83.57,78,34,6.69,scattered clouds
362,Narsaq,GL,60.9167,-46.05,53.82,36,3,3.83,clear sky
363,Kuah,MY,6.3265,99.8432,84.18,79,40,3.44,scattered clouds
364,Warrnambool,AU,-38.3833,142.4833,57.81,68,100,21.36,light rain
365,Inhambane,MZ,-23.865,35.3833,71.02,70,93,11.07,light rain
366,Chilca,PE,-12.5211,-76.7372,59.58,87,63,5.55,broken clouds
367,Constitucion,CL,-35.3333,-72.4167,54.88,89,100,30.02,overcast clouds
368,Berezovyy,RU,51.6667,135.7,64.98,97,94,5.28,overcast clouds
369,Sakakah,SA,29.9697,40.2064,96.37,15,0,11.97,clear sky
370,Bida,NG,9.0833,6.0167,88.84,54,83,4.52,broken clouds
371,Doka,SD,13.5167,35.7667,91.54,36,22,8.66,few clouds
372,Bredy,RU,52.4153,60.3411,83.12,43,99,11.95,overcast clouds
373,Sukhumi,GE,43.0033,41.0153,67.86,80,35,3.31,light rain
374,Nushki,PK,29.5542,66.0215,99.32,12,0,11.07,clear sky
375,Ocampo,MX,21.65,-101.5,51.76,87,100,9.48,overcast clouds
376,Katsuura,JP,35.1333,140.3,73.42,96,82,5.23,broken clouds
377,Myitkyina,MM,25.3833,97.4,75.94,99,100,2.01,overcast clouds
378,Fort Wellington,GY,6.4,-57.6,77.07,87,96,3.78,overcast clouds
379,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,88,75,13.42,light intensity drizzle rain
380,Hereford,GB,52.0568,-2.7148,78.75,58,2,5.14,clear sky
381,Maxixe,MZ,-23.8597,35.3472,70.63,71,91,10.16,light rain
382,Maniago,IT,46.1706,12.7078,86.05,58,40,3.85,scattered clouds
383,Port Augusta,AU,-32.5,137.7667,57.13,51,0,9.69,clear sky
384,Ambon,ID,-3.6954,128.1814,77.23,15,40,4.61,scattered clouds
385,Den Helder,NL,52.9599,4.7593,83.01,71,100,11.99,overcast clouds
386,Kirovskaya,RU,46.9748,40.0402,69.96,41,96,8.79,overcast clouds
387,Ayr,GB,55.4627,-4.6339,66.18,72,75,6.91,broken clouds
388,Salta,AR,-24.7859,-65.4117,43.39,81,100,4.61,overcast clouds
389,The Valley,AI,18.217,-63.0578,83.1,78,20,12.66,few clouds
390,Daru,PG,-9.0763,143.2092,77.86,88,81,18.9,broken clouds
391,Margate,GB,51.3813,1.3862,72.3,76,60,5.14,broken clouds
392,Ambilobe,MG,-13.2,49.05,88.05,23,4,6.2,clear sky
393,Nanortalik,GL,60.1432,-45.2371,42.33,69,2,12.35,clear sky
394,Fort Nelson,CA,58.8053,-122.7002,53.19,94,75,12.66,broken clouds
395,Dwarka,IN,22.2394,68.9678,87.49,71,74,18.48,moderate rain
396,Poum,NC,-20.2333,164.0167,73.63,61,100,6.46,overcast clouds
397,Zyryanka,RU,65.75,150.85,49.95,68,51,4.32,broken clouds
398,Lamar,US,33.6668,-95.5836,78.71,83,75,0.0,broken clouds
399,Charters Towers,AU,-20.1,146.2667,60.49,73,1,8.97,clear sky
400,Bentiu,SS,9.2333,29.8333,101.03,27,38,5.1,scattered clouds
401,Gorin,RU,51.1983,136.6669,67.57,88,92,4.94,overcast clouds
402,Mersing,MY,2.4312,103.8405,82.31,83,40,2.3,scattered clouds
403,Tome,CL,-36.6167,-72.95,48.81,91,100,15.84,overcast clouds
404,Chato,TZ,-2.6378,31.7669,81.81,33,46,6.04,scattered clouds
405,Nioro,GM,13.35,-15.75,83.95,59,100,2.35,overcast clouds
406,Necochea,AR,-38.5473,-58.7368,36.48,75,96,6.98,overcast clouds
407,Yulara,AU,-25.2406,130.9889,60.04,33,0,4.72,clear sky
408,Okha,RU,53.5739,142.9478,54.25,87,100,11.7,overcast clouds
409,Moron,AR,-34.6534,-58.6198,44.35,74,41,5.99,scattered clouds
410,Evensk,RU,61.95,159.2333,43.68,95,100,10.36,overcast clouds
411,Paraiso,CR,9.8383,-83.8656,64.89,100,87,1.43,overcast clouds
412,Bilma,NE,18.6853,12.9164,104.4,9,46,5.44,scattered clouds
413,Dolores,AR,-36.3132,-57.6792,35.69,77,100,4.65,overcast clouds
414,Baruun-Urt,MN,46.6806,113.2792,72.34,32,64,10.4,broken clouds
415,Strezhevoy,RU,60.7333,77.5889,72.14,52,99,2.89,overcast clouds
416,Novyye Burasy,RU,52.1324,46.0714,67.48,87,100,11.12,overcast clouds
417,Burgeo,CA,47.6167,-57.6152,53.87,94,39,7.96,scattered clouds
418,Camabatela,AO,-8.1881,15.375,82.44,37,18,1.5,few clouds
419,Homer,US,59.6425,-151.5483,56.77,86,0,4.0,clear sky
420,Chiredzi,ZW,-21.05,31.6667,77.77,35,14,6.38,few clouds
421,Zuwarah,LY,32.9312,12.082,89.35,34,0,8.16,clear sky
422,Lianran,CN,24.9227,102.485,68.54,87,100,3.89,light rain
423,Qidong,CN,31.8128,121.6561,86.16,65,100,12.24,light rain
424,Muroto,JP,33.2833,134.15,77.83,93,24,12.39,few clouds
425,Mormugao,IN,15.4,73.8,80.56,81,96,11.83,overcast clouds
426,Miles City,US,46.4083,-105.8406,56.37,88,0,11.5,clear sky
427,Vilhena,BR,-12.7406,-60.1458,68.22,73,0,8.05,clear sky
428,Buala,SB,-8.145,159.5921,80.01,82,90,7.65,light rain
429,Khandyga,RU,62.6667,135.6,70.97,63,0,1.99,clear sky
430,Mkushi,ZM,-13.6202,29.3939,75.36,29,4,5.23,clear sky
431,Geraldton,AU,-28.7667,114.6,63.01,94,75,5.75,broken clouds
432,Clinton,US,42.587,-82.9199,63.21,83,0,6.91,clear sky
433,Mount Gambier,AU,-37.8333,140.7667,57.11,77,100,18.41,light rain
434,Kiunga,PG,-6.1219,141.2906,75.76,97,97,4.34,overcast clouds
435,Faanui,PF,-16.4833,-151.75,79.77,67,62,10.69,broken clouds
436,Panaba,MX,21.2833,-88.2667,73.13,95,99,2.91,overcast clouds
437,Cuenca,EC,-2.8833,-78.9833,53.73,100,100,2.3,overcast clouds
438,Chengdu,CN,30.6667,104.0667,84.09,65,0,6.71,clear sky
439,Buluang,PH,13.3068,123.3425,80.19,83,100,1.68,overcast clouds
440,Taoudenni,ML,22.6783,-3.9836,109.94,12,3,14.18,clear sky
441,Chicama,PE,-7.8447,-79.1469,57.74,89,63,4.7,broken clouds
442,Akhmim,EG,26.5622,31.745,99.01,13,0,16.35,clear sky
443,Ribeira Grande,PT,38.5167,-28.7,66.6,77,40,5.75,scattered clouds
444,Palaiomonastiron,GR,39.4625,21.6586,101.01,20,8,10.18,clear sky
445,Gondar,ET,12.6,37.4667,73.99,44,24,7.27,light rain
446,Bayanday,RU,53.0661,105.5139,70.79,50,64,9.19,broken clouds
447,Katherine,AU,-14.4667,132.2667,68.32,42,24,6.91,few clouds
448,Korla,CN,41.7597,86.1469,100.87,10,43,5.55,scattered clouds
449,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,76.8,88,0,3.44,clear sky
450,San Miguel,SV,13.4833,-88.1833,68.92,96,99,3.31,overcast clouds
451,Lakes Entrance,AU,-37.8811,147.981,58.15,69,100,12.06,overcast clouds
452,Yenagoa,NG,4.9247,6.2642,83.62,75,97,1.79,moderate rain
453,Montefiascone,IT,42.5393,12.0362,81.05,79,0,2.3,light rain
454,Dakar,SN,14.6937,-17.4441,80.73,78,20,16.11,few clouds
455,Alugan,PH,12.2188,125.4808,82.02,78,69,5.99,broken clouds
456,Olindina,BR,-11.3667,-38.3333,72.5,89,68,7.74,broken clouds
457,Srandakan,ID,-7.9386,110.2506,78.75,84,63,12.53,broken clouds
458,Hualmay,PE,-11.0964,-77.6139,59.92,84,41,5.99,scattered clouds
459,Yinchuan,CN,38.4681,106.2731,93.24,16,0,4.9,clear sky
460,Abu Dhabi,AE,24.4667,54.3667,113.11,63,0,19.19,clear sky
461,Wakkanai,JP,45.4094,141.6739,57.72,97,100,7.27,light rain
462,Sioux Lookout,CA,50.1001,-91.917,60.87,94,75,8.05,broken clouds
463,Prien,US,30.1819,-93.2738,79.02,88,0,8.05,clear sky
464,Carballo,ES,43.213,-8.691,63.43,89,99,4.18,overcast clouds
465,San Quintin,MX,30.4833,-115.95,66.45,85,0,7.76,clear sky
466,Gizo,SB,-8.103,156.8419,82.51,75,35,5.84,scattered clouds
467,Kurilsk,RU,45.2333,147.8833,47.68,93,100,8.23,light rain
468,Chitral,PK,35.8462,71.7858,80.82,20,9,5.37,clear sky
469,Sao Filipe,CV,14.8961,-24.4956,77.83,82,14,7.2,few clouds
470,Boa Vista,BR,2.8197,-60.6733,76.98,88,75,0.0,broken clouds
471,Athabasca,CA,54.7169,-113.2854,48.61,90,96,6.89,overcast clouds
472,Raudeberg,NO,61.9875,5.1352,57.87,91,100,22.91,overcast clouds
473,Lormi,IN,22.2833,81.7333,82.0,72,90,11.59,overcast clouds
474,Were Ilu,ET,10.6,39.4333,68.04,43,100,11.27,light rain
475,Kjopsvik,NO,68.097,16.3742,53.47,59,39,21.14,scattered clouds
476,Karabulak,RU,43.3036,44.8964,73.99,57,98,5.14,light rain
477,Coari,BR,-4.085,-63.1414,71.08,90,2,1.88,clear sky
478,Ulukulevo,RU,54.4355,56.3221,82.65,68,90,9.6,overcast clouds
479,Beloha,MG,-25.1667,45.05,71.4,45,16,18.34,few clouds
480,Tonantins,BR,-2.8731,-67.8022,69.8,97,6,2.3,clear sky
481,Gurupa,BR,-1.405,-51.64,73.58,93,26,3.11,scattered clouds
482,Berlevag,NO,70.8578,29.0864,55.4,71,0,17.27,clear sky
483,Sambava,MG,-14.2667,50.1667,77.2,55,17,19.39,few clouds
484,Carutapera,BR,-1.195,-46.02,74.95,93,84,5.19,broken clouds
485,Kennewick,US,46.2113,-119.1372,63.18,58,0,5.75,clear sky
486,Madimba,TZ,-10.4,40.3333,82.63,51,2,16.13,clear sky
487,Seydi,TM,39.4816,62.9137,103.55,10,0,13.11,clear sky
488,Pacifica,US,37.6138,-122.4869,68.27,91,20,8.05,fog
489,Kemijarvi,FI,66.7131,27.4306,53.8,92,100,10.76,overcast clouds
490,Maceio,BR,-9.6658,-35.7353,72.84,88,75,2.3,broken clouds
491,Istok,XK,42.7808,20.4875,87.49,42,6,4.7,clear sky
492,Mount Pleasant,US,32.7941,-79.8626,78.8,85,0,7.0,clear sky
493,Aizawl,IN,23.7333,92.7167,70.21,97,100,1.92,overcast clouds
494,Coquimbo,CL,-29.9533,-71.3436,49.73,87,0,10.36,clear sky
495,Kununurra,AU,-15.7667,128.7333,69.78,43,62,4.61,broken clouds
496,Naze,JP,28.3667,129.4833,77.92,89,0,8.43,clear sky
497,Picton,AU,-34.1833,150.6,55.72,83,37,5.48,scattered clouds
498,Pangnirtung,CA,66.1451,-65.7125,44.6,76,20,3.44,few clouds
499,Kieta,PG,-6.2167,155.6333,79.09,83,80,3.27,light rain
500,Baghdad,IQ,33.3406,44.4009,102.11,19,20,10.36,few clouds
501,Northam,GB,51.0333,-4.2167,69.26,77,26,2.04,scattered clouds
502,Shakawe,BW,-18.3667,21.85,80.98,21,1,6.82,clear sky
503,Lata,PT,40.1629,-8.3327,62.92,62,61,6.29,broken clouds
504,Big Rapids,US,43.6981,-85.4837,51.1,93,0,3.44,clear sky
505,Juneau,US,58.3019,-134.4197,52.21,98,99,3.49,overcast clouds
506,Turkan,AZ,40.3639,50.215,82.58,51,0,27.63,clear sky
507,Nome,US,64.5011,-165.4064,42.87,87,100,13.8,overcast clouds
508,Izhma,RU,65.0083,53.9113,45.97,98,100,7.58,moderate rain
509,Rongcheng,CN,30.634,117.8517,82.83,82,99,5.46,overcast clouds
510,Le Port,RE,-20.9373,55.2919,78.76,62,13,7.65,few clouds
511,Labuhan,ID,-6.8844,112.2051,80.49,79,99,5.12,overcast clouds
512,Mabaruma,GY,8.2,-59.7833,73.35,98,96,1.92,overcast clouds
513,Rio Gallegos,AR,-51.6226,-69.2181,33.85,80,0,16.11,clear sky
514,Caravelas,BR,-17.7125,-39.2481,74.71,80,38,1.61,scattered clouds
515,Iida,JP,35.5197,137.8207,69.6,96,70,1.88,broken clouds
516,Salt Lake City,US,40.7608,-111.8911,71.64,42,0,8.05,clear sky
517,Beira,MZ,-19.8436,34.8389,77.09,61,20,8.05,few clouds
518,Atbasar,KZ,51.8,68.3333,85.32,39,49,15.3,scattered clouds
519,Lazaro Cardenas,MX,17.9583,-102.2,75.88,85,100,4.97,overcast clouds
520,Mandalgovi,MN,45.7625,106.2708,77.4,23,4,16.8,clear sky
521,Porto Novo,BJ,6.4965,2.6036,78.62,76,97,5.73,moderate rain
522,Mersin,TR,36.862,34.6509,86.07,49,0,9.13,clear sky
523,Antofagasta,CL,-23.65,-70.4,51.08,61,100,2.66,overcast clouds
524,Flin Flon,CA,54.7682,-101.865,57.04,67,100,11.5,overcast clouds
525,Kaseda,JP,31.4167,130.3167,76.75,93,15,11.3,few clouds
526,Husavik,IS,66.0449,-17.3389,39.42,82,99,16.62,overcast clouds
527,Ballitoville,ZA,-29.539,31.2144,73.17,60,20,10.36,few clouds
528,Bhaderwah,IN,32.9784,75.7186,81.27,37,44,5.39,scattered clouds
529,Sainte-Marie,RE,-20.8968,55.5496,78.93,67,75,10.36,broken clouds
530,Mandera,KE,3.9366,41.867,86.99,44,98,20.45,overcast clouds
531,Rajauri,IN,33.3833,74.3,86.97,36,0,5.61,clear sky
532,Namuac,PH,18.6109,121.1657,83.59,79,97,10.18,overcast clouds
533,Muros,ES,42.7762,-9.0603,63.84,82,91,6.6,overcast clouds
534,Weligama,LK,5.9667,80.4167,83.08,75,80,11.36,broken clouds
535,Richards Bay,ZA,-28.783,32.0377,76.96,45,0,13.09,clear sky
536,Saint-Georges,GD,12.0564,-61.7485,82.08,78,20,11.5,few clouds
537,Chirawa,IN,28.2408,75.6448,100.35,19,0,15.12,clear sky
538,Aykhal,RU,66.0,111.5,75.85,42,62,11.68,broken clouds
539,Upington,ZA,-28.4478,21.2561,57.58,72,75,9.22,broken clouds
540,Wasilla,US,61.5814,-149.4394,59.95,82,20,4.61,few clouds
541,Solnechnyy,RU,50.7214,136.6319,64.63,93,96,4.14,overcast clouds
542,Pingliang,CN,35.5392,106.6861,83.73,32,0,3.89,clear sky
543,Zhezkazgan,KZ,47.8043,67.7144,96.78,16,0,11.18,clear sky
544,Mapiri,BO,-15.25,-68.1667,64.67,96,96,0.96,overcast clouds
545,Beringovskiy,RU,63.05,179.3167,45.95,82,100,12.48,overcast clouds
546,Chimore,BO,-16.9833,-65.1333,66.54,88,100,1.03,overcast clouds
547,Piacabucu,BR,-10.4056,-36.4344,75.36,89,100,7.07,overcast clouds
548,Waw,SS,7.7029,27.9953,98.8,30,14,5.01,few clouds
549,Jinchang,CN,38.4953,102.1739,90.3,13,0,17.38,clear sky
550,Santa Elena,EC,-2.2333,-80.85,69.35,83,75,8.05,broken clouds
551,San Luis,AR,-33.295,-66.3356,33.48,82,25,6.55,scattered clouds
552,Veshenskaya,RU,49.6303,41.7334,74.64,54,41,6.69,scattered clouds
553,Carlyle,US,38.6103,-89.3726,69.22,83,20,6.8,few clouds
554,Bairiki,KI,1.3292,172.9752,80.6,83,40,9.22,scattered clouds
555,Hella,NO,67.2,14.4333,57.76,82,75,17.27,broken clouds
556,Zabid,YE,14.1951,43.3152,103.62,28,32,18.41,scattered clouds
557,Perpignan,FR,42.75,2.75,88.83,35,0,11.5,clear sky
558,Bonavista,CA,48.6499,-53.1147,53.82,79,58,9.42,broken clouds
559,Matamoros,MX,25.5333,-103.25,72.63,56,45,6.2,scattered clouds
560,Tarakan,ID,3.3,117.6333,81.9,83,20,0.0,few clouds
561,Alice Springs,AU,-23.7,133.8833,51.35,58,0,0.0,clear sky
562,Kendari,ID,-3.945,122.4989,75.51,93,97,2.64,overcast clouds
563,Jeremoabo,BR,-10.075,-38.4808,71.42,90,89,10.27,overcast clouds
564,Bahia De Caraquez,EC,-0.6,-80.4167,71.78,88,100,7.07,overcast clouds
565,Suleja,NG,9.1758,7.1808,83.39,60,71,3.8,broken clouds
566,Hanzhong,CN,33.0728,107.0303,89.01,53,31,3.62,scattered clouds
567,Anloga,GH,5.7947,0.8973,80.58,75,100,6.44,overcast clouds
568,Vila Do Maio,CV,15.1333,-23.2167,79.59,87,27,15.64,scattered clouds
569,Berdigestyakh,RU,62.0989,126.6992,72.57,45,19,9.6,few clouds
570,Magog,CA,45.2668,-72.1491,62.74,77,96,10.36,overcast clouds
571,Sabha,LY,27.0377,14.4283,96.42,9,0,7.11,clear sky
572,Cairns,AU,-16.9167,145.7667,71.55,82,75,13.8,broken clouds
573,Viedma,AR,-40.8135,-62.9967,36.07,86,100,6.67,overcast clouds
574,Malanje,AO,-9.5402,16.341,87.64,31,19,1.72,few clouds
575,Chulman,RU,56.8479,124.9104,62.91,85,89,2.71,light rain
576,Atocha,BO,-20.9333,-66.2333,26.47,35,18,7.94,few clouds
577,Igarka,RU,67.4667,86.5833,84.54,25,87,6.62,overcast clouds
578,Matara,LK,5.9485,80.5353,83.57,74,76,11.86,broken clouds
579,Capinopolis,BR,-18.6819,-49.5697,64.62,53,34,4.92,scattered clouds
580,Dicabisagan,PH,17.0818,122.4157,78.89,88,99,2.01,moderate rain
581,Lusambo,CD,-4.9667,23.45,97.77,20,7,0.96,clear sky
582,Busembatia,UG,0.7697,33.6131,85.17,38,49,3.49,scattered clouds
583,Ostersund,SE,63.1792,14.6357,63.05,63,0,5.75,clear sky
584,Manaure,CO,11.7751,-72.4445,79.93,81,55,10.09,broken clouds
585,Hambantota,LK,6.1241,81.1185,86.27,65,78,21.9,broken clouds
586,Savinskiy,RU,62.9342,40.1361,70.63,40,88,5.03,overcast clouds
587,Nuuk,GL,64.1835,-51.7216,36.21,93,100,2.3,fog
588,Grand Gaube,MU,-20.0064,57.6608,72.37,71,28,7.0,scattered clouds
589,Emba,KZ,48.8264,58.1442,96.57,19,99,10.98,overcast clouds
590,Sakhon Nakhon,TH,17.1612,104.1472,84.15,79,40,2.3,scattered clouds
591,Chahuites,MX,16.2833,-94.1833,75.09,86,100,4.88,overcast clouds
592,Imeni Poliny Osipenko,RU,52.4201,136.4853,63.79,94,70,8.81,light rain
593,Broken Hill,AU,-31.95,141.4333,54.81,61,0,11.07,clear sky
594,Basco,PH,20.4487,121.9702,85.68,75,14,14.94,few clouds
595,Camacha,PT,33.0833,-16.3333,67.42,68,75,12.66,broken clouds
596,Timmins,CA,48.4669,-81.3331,51.62,87,0,5.75,clear sky
597,Westport,US,41.1415,-73.3579,64.89,95,100,10.36,overcast clouds
598,Red Bluff,US,40.1785,-122.2358,71.73,53,0,6.91,clear sky
599,Belmonte,BR,-15.8631,-38.8828,72.81,85,78,4.59,broken clouds
600,Ahero,KE,-0.1746,34.9163,79.39,52,90,7.43,light rain
601,Yurga,RU,55.7231,84.8861,60.84,93,98,7.9,light rain
602,Atar,MR,20.5169,-13.0499,96.62,16,25,11.54,scattered clouds
603,Mount Isa,AU,-20.7333,139.5,56.97,47,3,5.75,clear sky
604,Udachnyy,RU,66.4167,112.4,79.45,41,78,12.44,broken clouds
605,Srednyaya Yelyuzan,RU,53.0241,45.9529,74.64,66,94,12.24,overcast clouds
606,Wang Saphung,TH,17.301,101.7685,78.82,94,75,0.0,heavy intensity rain
607,Mascali,IT,37.7558,15.1959,103.93,29,3,4.21,clear sky
608,Kyren,RU,51.6828,102.1408,74.98,51,87,6.98,overcast clouds
609,Mawlaik,MM,23.6333,94.4167,85.24,81,98,1.74,overcast clouds
610,Shirokiy,RU,49.758,129.523,66.54,90,100,10.07,light rain
611,Quepos,CR,9.4236,-84.1652,75.16,82,98,3.96,overcast clouds
612,Whitecourt,CA,54.1502,-115.6855,44.92,89,87,4.27,overcast clouds
613,Shahreza,IR,32.0339,51.8794,90.37,8,0,31.88,clear sky
614,Bud,US,39.447,-86.1758,68.05,86,0,6.46,clear sky
615,Huarmey,PE,-10.0681,-78.1522,60.85,85,44,5.77,scattered clouds
616,Tobol,KZ,52.6844,62.5794,79.86,50,80,10.42,broken clouds
617,Senov,CZ,49.7932,18.3761,79.83,42,18,7.31,few clouds
618,Sampit,ID,-2.5333,112.95,75.49,96,100,3.15,moderate rain
619,Zyryanskoye,RU,56.8306,86.6258,60.73,95,92,6.76,moderate rain
620,Noyabrsk,RU,63.1994,75.4507,74.59,49,98,4.63,overcast clouds
621,Vitim,RU,59.4511,112.5578,76.39,34,60,6.89,broken clouds
622,Conceicao Do Araguaia,BR,-8.2578,-49.2647,78.21,60,85,1.63,overcast clouds
623,Hami,CN,42.8,93.45,105.04,5,4,3.15,clear sky
624,Akyab,MM,20.15,92.9,82.98,78,98,11.56,heavy intensity rain
625,Bulaevo,KZ,54.9056,70.4439,73.44,67,76,13.65,broken clouds
626,Grindavik,IS,63.8424,-22.4338,48.15,66,0,31.07,clear sky
627,Tarko-Sale,RU,64.9225,77.785,81.63,36,100,12.59,overcast clouds
628,Noumea,NC,-22.2763,166.4572,72.0,99,100,8.08,moderate rain
629,Nkhotakota,MW,-12.9274,34.2961,75.2,49,6,9.84,clear sky
630,Finnsnes,NO,69.2296,17.9811,59.61,56,24,21.92,few clouds
631,Xinyu,CN,27.8043,114.9334,83.53,78,93,7.09,overcast clouds
632,Apatou,GF,5.155,-54.3472,74.05,96,66,2.53,broken clouds
633,Linguere,SN,15.3953,-15.1193,80.82,78,20,4.61,few clouds
634,Corrente,BR,-3.7367,-43.3394,76.28,68,20,4.21,few clouds
635,Lokosovo,RU,61.1333,74.8167,72.0,53,88,4.0,overcast clouds
636,Naantali,FI,60.4674,22.0243,69.44,60,20,17.27,few clouds
637,Cabedelo,BR,-6.9811,-34.8339,75.87,81,98,7.16,overcast clouds
638,Houma,US,29.5958,-90.7195,80.6,92,0,9.22,clear sky
639,Grand-Lahou,CI,5.1367,-5.0242,77.58,87,100,7.11,moderate rain
640,High Rock,BS,26.6208,-78.2833,69.82,64,100,4.07,overcast clouds
641,Patos,BR,-7.0244,-37.28,75.63,75,93,6.55,overcast clouds
642,Yar-Sale,RU,66.8333,70.8333,83.55,35,7,6.42,clear sky
643,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,60,20,14.97,few clouds
644,Izumo,JP,35.3667,132.7667,80.49,83,75,6.91,moderate rain
645,Kumo,NG,10.0447,11.2122,87.71,51,68,10.6,broken clouds
646,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.17,87,49,8.39,scattered clouds
647,Tapes,BR,-30.6733,-51.3958,57.16,95,100,14.36,overcast clouds
648,Terrak,NO,65.087,12.3715,53.47,77,98,13.62,overcast clouds
649,Sisimiut,GL,66.9395,-53.6735,38.5,79,72,6.38,broken clouds
650,Kuybyshevo,RU,47.8123,38.9073,71.8,45,85,5.32,overcast clouds
651,Bonito,BR,-21.1211,-56.4819,65.59,67,8,1.95,clear sky
652,Whitehorse,CA,60.7161,-135.0538,51.31,94,75,3.0,broken clouds
653,Nevers,FR,46.9167,3.3333,77.58,57,75,5.75,broken clouds
654,Yokadouma,CM,3.5167,15.05,81.61,68,79,2.15,light rain
655,Zhigansk,RU,66.7697,123.3711,52.83,74,100,6.2,overcast clouds
656,Honiara,SB,-9.4333,159.95,77.77,87,48,5.61,scattered clouds
657,George,ZA,-33.963,22.4617,56.75,100,100,18.41,overcast clouds
658,Nikki,BJ,9.9401,3.2108,84.24,58,87,3.96,overcast clouds
659,Fenoarivo Atsinanana,MG,-17.3667,49.4167,72.1,77,21,11.23,light rain
660,Ereymentau,KZ,51.6199,73.1033,84.0,36,28,20.65,scattered clouds
661,Asfi,MA,32.2994,-9.2372,68.31,67,0,10.56,clear sky
662,Carupano,VE,10.6678,-63.2585,76.95,91,93,6.91,overcast clouds
663,Shepsi,RU,44.0361,39.1489,67.66,75,89,16.2,overcast clouds
664,Tiznit,MA,29.5833,-9.5,74.19,36,1,6.69,clear sky
665,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,71,75,4.61,broken clouds
666,Yopal,CO,5.3378,-72.3959,68.99,94,86,2.93,overcast clouds
667,Angoche,MZ,-16.2325,39.9086,77.86,54,37,9.89,scattered clouds
668,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,74,0,9.4,clear sky
669,Nsanje,MW,-16.92,35.262,77.5,54,33,5.7,light rain
670,Languyan,PH,5.2618,120.0807,80.71,81,89,3.8,overcast clouds
671,Safaga,EG,26.7292,33.9365,88.11,45,0,18.99,clear sky
672,La Macarena,CO,2.1837,-73.7849,68.18,99,42,0.63,heavy intensity rain
673,Tautira,PF,-17.7333,-149.15,78.8,70,49,11.16,scattered clouds
674,Lake Cowichan,CA,48.825,-124.0546,53.38,96,51,1.57,broken clouds
675,Dubbo,AU,-32.25,148.6167,42.93,87,98,0.0,overcast clouds
676,Port Hardy,CA,50.6996,-127.4199,50.0,87,0,8.05,clear sky
677,Westerland,DE,54.9079,8.3033,71.02,77,0,6.91,clear sky
678,Atlantis,ZA,-33.5667,18.4834,55.18,83,61,13.35,light rain
679,Atambua,ID,-9.1061,124.8925,73.26,77,98,7.45,overcast clouds
680,Krasnovishersk,RU,60.4078,57.082,62.69,71,99,8.48,light rain
681,Rio Cuarto,AR,-33.1307,-64.3499,34.66,69,0,4.61,clear sky
682,Dabat,ET,12.9842,37.765,63.9,58,38,4.25,light rain
683,Palana,RU,59.1167,159.9667,39.42,95,92,7.96,overcast clouds
684,Hofn,IS,64.2539,-15.2082,50.02,43,75,14.97,broken clouds
685,Mahibadhoo,MV,3.7833,72.9667,82.81,72,30,6.15,scattered clouds
686,Pizarro,CO,4.9533,-77.366,74.89,92,88,5.06,light rain
687,Kijang,KR,35.2442,129.2139,78.53,93,98,19.13,overcast clouds
688,Winfield,US,37.2398,-96.9956,74.17,89,0,5.75,clear sky
689,Korem,ET,12.5058,39.5228,72.48,33,97,10.49,overcast clouds
690,Pascagoula,US,30.3658,-88.5561,75.92,95,0,0.0,mist
691,Leh,IN,34.1667,77.5833,61.7,23,98,4.18,overcast clouds
692,Comodoro Rivadavia,AR,-45.8667,-67.5,30.06,69,0,4.61,clear sky
693,Sagacad,PH,7.6861,123.3406,77.29,84,44,0.94,scattered clouds
694,Tezu,IN,27.9167,96.1667,82.53,90,78,0.51,broken clouds
695,Makhinjauri,GE,41.6739,41.694,71.46,78,75,4.61,broken clouds
696,Bulawayo,ZW,-20.15,28.5833,70.77,27,0,5.91,clear sky
697,Santa Ines,BR,-3.6667,-45.38,71.73,84,56,3.2,broken clouds
698,Sohag,EG,26.557,31.6948,97.09,14,0,16.26,clear sky
699,Sur,OM,22.5667,59.5289,96.82,48,8,10.94,clear sky
700,Camopi,GF,3.1655,-52.3158,73.56,97,48,2.15,scattered clouds
701,Youghal,IE,51.95,-7.8506,69.1,73,10,8.43,clear sky
702,Nhlangano,SZ,-27.1167,31.2,61.52,61,39,8.32,scattered clouds
