City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Amapa,BR,2022-06-21 03:51:30,1.0,-52.0,69.46,99,11,0.45
269,Wahiawa,US,2022-06-21 03:51:31,21.5028,-158.0236,79.12,67,75,11.5
270,Tiksi,RU,2022-06-21 03:51:31,71.6872,128.8694,44.49,51,29,7.25
271,Salo,IT,2022-06-21 03:51:31,45.6086,10.531,73.38,81,0,2.46
272,Mackay,AU,2022-06-21 03:51:32,-21.15,149.2,76.68,74,98,15.84
273,Esmeraldas,BR,2022-06-21 03:51:32,-19.7625,-44.3139,61.66,89,0,4.63
274,Constantine,DZ,2022-06-21 03:51:32,36.365,6.6147,72.81,33,0,3.44
275,Bejar,ES,2022-06-21 03:51:33,40.3864,-5.7634,53.58,69,98,3.27
276,Miasskoye,RU,2022-06-21 03:51:33,55.2784,61.8905,61.68,68,49,17.34
277,Kaitangata,NZ,2022-06-21 03:51:33,-46.2817,169.8464,45.07,84,0,3.8
278,Tonj,SS,2022-06-21 03:51:34,7.2737,28.6822,67.66,92,92,3.51
279,Buta,CD,2022-06-21 03:51:34,2.7858,24.73,66.9,100,95,0.54
280,Georgetown,MY,2022-06-21 03:49:50,5.4112,100.3354,84.88,78,40,5.75
281,Dukat,RU,2022-06-21 03:51:35,62.55,155.55,42.3,93,100,8.08
282,Fuerte,PH,2022-06-21 03:52:35,17.5381,120.3644,90.1,79,82,6.73
283,Bilma,NE,2022-06-21 03:52:35,18.6853,12.9164,86.88,18,4,7.18
284,Marrakesh,MA,2022-06-21 03:52:35,31.6315,-8.0083,69.87,64,20,5.75
285,Zhangye,CN,2022-06-21 03:52:36,38.9342,100.4517,70.25,38,100,4.56
286,Baruun-Urt,MN,2022-06-21 03:52:36,46.6806,113.2792,79.32,25,100,13.18
287,Ust-Kan,RU,2022-06-21 03:52:36,50.9276,84.761,68.23,55,69,0.81
288,Nouadhibou,MR,2022-06-21 03:52:37,20.931,-17.0347,71.58,94,100,5.75
289,Sulangan,PH,2022-06-21 03:52:37,11.1373,123.7228,82.42,73,100,3.22
290,Lucapa,AO,2022-06-21 03:52:37,-8.4192,20.7447,62.17,63,0,2.75
291,Rovinj,HR,2022-06-21 03:52:38,45.08,13.64,71.42,76,0,8.5
292,Haifa,IL,2022-06-21 03:48:47,32.8156,34.9892,74.34,73,20,3.44
293,Anori,BR,2022-06-21 03:52:38,-3.7728,-61.6442,72.27,98,89,2.86
294,Evensk,RU,2022-06-21 03:52:38,61.95,159.2333,47.35,90,100,9.28
295,Monterey,US,2022-06-21 03:47:53,36.2505,-121.2516,68.18,44,2,8.81
